name,category,roadAddress,address,latitude,longitude,period,count,items
연풍전통시장,상설장,충청북도 괴산군 연풍면 향교로홍문길 5,충청북도 괴산군 연풍면 삼풍리 205-3,36.76472468,127.9951005,2일+7일,53.0,농산물+축산물+가공식품+음식점
목도재래시장,상설장+4일장,충청북도 괴산군 불정면 목도로4길 11,충청북도 괴산군 불정면 목도리 299-3,36.87204755,127.8530473,4일+9일,75.0,농산물+축산물+수산물+가공식품+가정용품+음식점
전주남부시장,상설장,전북특별차치도 전주시 완산구 풍남문1길 19-3,전북특별차치도 전주시 완산구 전동 295-4,35.81278651,127.1475386,매일,320.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점
홍성전통시장,상설장,충청남도 홍성군 홍성읍 홍성천길 242,충청남도 홍성군 홍성읍 대교리 400-1,36.60214738,126.6680243,1일+6일,220.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점
홍성상설시장,상설장,충청남도 홍성군 홍성읍 아문길 60,충청남도 홍성군 홍성읍 오관리 397-6,36.59973826,126.6637095,매일,110.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점
광천문화시장,4일장,충청남도 홍성군 광천읍 광천로323번길 15-1,충청남도 홍성군 광천읍 광천리 185-27,36.50232616,126.6250081,4일+9일,148.0,농산물+축산물+가공식품+의류+신발+가정용품+음식점
광천전통시장,상설장+4일장,충청남도 홍성군 광천읍 광천로 285,충청남도 홍성군 광천읍 광천리 230-32,36.4998307,126.6252434,4일+9일,179.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점
갈산전통시장,3일장,충청남도 홍성군 갈산면 상촌로 29,충청남도 홍성군 갈산면 상촌리 240-16,36.6036997,126.5505509,3일+8일,40.0,농산물+수산물+가공식품+의류+신발+가정용품+음식점
태안서부시장,상설장,충청남도 태안군 태안읍 시장2길 32-7 (남문3리마을회관),충청남도 태안군 태안읍 남문리 164,36.75299449,126.2968375,매일,153.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점
안면도수산시장(안면도장터),상설장,충청남도 태안군 안면읍 장터로 104,충청남도 태안군 안면읍 승언리 1249,36.51635222,126.3460071,매일,42.0,수산물
태안동부시장(태안특산물전통시장),상설장+3일장,충청남도 서산시 시장4길 32,충청남도 서산시 동문동 288-3,36.78114144,126.4582001,3일+8일,99.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점
정산시장,상설장+5일장,충청남도 청양군 정산면 정현길 54,충청남도 청양군 정산면 서정리 163,36.41059786,126.9480121,5일+10일,104.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점
청양전통시장,상설장,충청남도 청양군 청양읍 칠갑산로6길 6,충청남도 청양군 청양읍 읍내리 178-4,36.45048364,126.8018476,2일+7일,149.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점
북부시장,상설장+4일장,전북특별차치도 익산시 인북로 219,전북특별차치도 익산시 남중동 72-7,35.94821919,126.9565852,4일+9일,179.0,농산물+수산물+의류
봉동시장,상설장+5일장,전북특별차치도 완주군 봉동읍 봉동동서로 134-5,전북특별차치도 완주군 봉동읍 장기리 217-13,35.93871982,127.1670778,5일+10일,25.0,농산물+가공식품+의류+신발+가정용품+음식점
병천시장,상설장,충청남도 천안시 동남구 병천면 아우내장터1길 46,충청남도 천안시 동남구 병천면 병천리 163-2,36.76242111,127.2981701,1일+6일,115.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점
천안중앙시장(구 남산중앙시장),상설장,충청남도 천안시 동남구 사직2길 19 (남산중앙시장상인회),충청남도 천안시 동남구 사직동 263,36.80032317,127.1484498,매일,520.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점
천안역전시장,상설장,충청남도 천안시 동남구 공설시장2길 15,충청남도 천안시 동남구 대흥동 10-12,36.81006288,127.1498779,매일,99.0,농산물+축산물+의류+가정용품+음식점
삽교시장,상설장+5일장,충청남도 예산군 삽교읍 두리3길 50-6,충청남도 예산군 삽교읍 두리 568-62,36.68742244,126.7410344,2일+5일,12.0,농산물+음식점
예산시장,5일장,충청남도 예산군 예산읍 형제고개로 967,충청남도 예산군 예산읍 예산리 333-1,36.67723471,126.8494508,5일+10일,,농산물+축산물+수산물+의류+신발+근린생활서비스
예산상설시장,상설장+5일장,충청남도 예산군 예산읍 예산시장길 2,충청남도 예산군 예산읍 예산리 333-1,36.67723471,126.8494508,5일+10일,100.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점
역전시장,상설장+3일장,충청남도 예산군 예산읍 역전로 84,충청남도 예산군 예산읍 산성리 356-7,36.68704166,126.829854,3일+8일,40.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점
덕산시장,4일장,충청남도 예산군 덕산면 읍내서길 2-1,충청남도 예산군 덕산면 읍내리 356-4,36.70498477,126.6681533,4일+9일,53.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점
광시시장,3일장,충청남도 예산군 광시면 예당로 165-22,충청남도 예산군 광시면 광시리 87-1,36.54911162,126.7744446,3일+8일,9.0,농산물+축산물
안산시시민시장,상설장+5일장,경기도 안산시 단원구 화랑로 149,경기도 안산시 단원구 초지동 604-4,37.32536495,126.8050908,5일+10일,410.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점
안강공설시장,상설장+4일장,경상북도 경주시 안강읍 비화중로 3길 26-3,경상북도 경주시 안강읍 양월리 1350-1,35.99030205,129.2217127,4일+9일,235.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점
궁평항해오름수산시장,상설장,경기도 화성시 서신면 궁평항로 1049-24,경기도 화성시 서신면 궁평리 689,37.11602674,126.6812763,매일,143.0,수산물+가공식품
오이도전통수산시장,상설장,경기도 시흥시 오이도로 167 173,경기도 시흥시 정왕동 2003-8 2003-12,37.34588337,126.6882074,매일,77.0,수산물+근린생활서비스
정왕시장,상설장,경기도 시흥시 정왕시장길 51,경기도 시흥시 정왕동 1203,37.34580179,126.748564,매일,74.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스
시흥삼미시장,상설장,경기도 시흥시 삼미시장2길 35,경기도 시흥시 신천동 738-4,37.44040657,126.7838201,매일,151.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스
도일시장,상설장+3일장,경기도 안산시 단원구 도일로 100,경기도 안산시 단원구 신길동 3-6,37.33934833,126.7839859,3일+8일,74.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스
팔달문시장,상설장,경기도 수원시 팔달구 정조로770번길 17,경기도 수원시 팔달구 영동 6-14,37.27685014,127.0178829,매일,221.0,의류
역전시장,상설장,경기도 수원시 팔달구 매산로 2-10,경기도 수원시 팔달구 매산로1가 57-3,37.26630163,127.0023389,매일,300.0,의류+신발+음식점
남문패션1번가시장,상설장,경기도 수원시 팔달구 정조로758번길 24,경기도 수원시 팔달구 영동 43-5,37.27562469,127.0181081,매일,156.0,의류+신발+음식점+근린생활서비스
못골종합시장,상설장,경기도 수원시 팔달구 수원천로 254,경기도 수원시 팔달구 지동 415,37.27618303,127.0200138,매일,86.0,농산물+축산물+수산물+가공식품
남문로데오시장,상설장,경기도 수원시 팔달구 행궁로 88,경기도 수원시 팔달구 교동 3-6,37.27463391,127.0155146,매일,174.0,가공식품+의류+신발+음식점+근린생활서비스
구천동공구상가시장,상설장,경기도 수원시 팔달구 수원천로199번길 5,경기도 수원시 팔달구 구천동 86-1,37.27211975,127.0173519,매일,89.0,근린생활서비스
매산시장,상설장,경기도 수원시 팔달구 권선로 477,경기도 수원시 팔달구 매산로2가 90,37.26457025,127.0033483,매일,103.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점
미나리광시장,상설장,경기도 수원시 팔달구 수원천로 266-4,경기도 수원시 팔달구 지동 400-12,37.27727335,127.0196307,매일,51.0,농산물+축산물+수산물+음식점
화서시장,상설장,경기도 수원시 팔달구 동말로 72,경기도 수원시 팔달구 화서동 97-1,37.27858147,127.0020973,매일,229.0,농산물+축산물+수산물+가공식품+의류+음식점
지동시장,상설장,경기도 수원시 팔달구 팔달문로 19,경기도 수원시 팔달구 지동 402-2,37.27788606,127.0196309,매일,219.0,축산물+수산물+가공식품+음식점
영동시장,상설장,경기도 수원시 팔달구 수원천로255번길 6,경기도 수원시 팔달구 영동 8,37.27681569,127.0186497,매일,282.0,근린생활서비스
시민상가시장,상설장,경기도 수원시 팔달구 팔달문로4번길 19,경기도 수원시 팔달구 영동 10-18,37.27667892,127.0179844,매일,56.0,의류
북수원시장,상설장,경기도 수원시 장안구 파장로82번길 9,경기도 수원시 장안구 파장동 572-35,37.30704501,126.992183,매일,150.0,농산물+축산물+수산물+음식점
조원시장,상설장,경기도 수원시 장안구 조원로89번길 8,경기도 수원시 장안구 조원동 743-7,37.30078207,127.0153395,매일,135.0,농산물+축산물+수산물+의류+음식점
반딧불이연무시장,상설장,경기도 수원시 장안구 월드컵로428번길 10,경기도 수원시 장안구 연무동 249,37.29395937,127.0259733,매일,194.0,농산물+축산물+수산물+가공식품+의류+음식점
장안문거북시장,상설장,경기도 수원시 장안구 수성로382번길 24,경기도 수원시 장안구 영화동 250-1,37.29315046,127.0139733,매일,117.0,농산물+축산물+음식점
정자시장,상설장,경기도 수원시 장안구 수성로261번길 16,경기도 수원시 장안구 정자동 73-10,37.29069027,127.0008813,매일,150.0,농산물+축산물+수산물+가공식품+의류+음식점
구매탄시장,상설장,경기도 수원시 영통구 매여울로53번길 50-1,경기도 수원시 영통구 매탄동 172-72,37.27260017,127.0419199,매일,118.0,농산물+축산물+수산물+의류+음식점
권선종합시장,상설장,경기도 수원시 권선구 세권로 185,경기도 수원시 권선구 권선동 1051,37.25609894,127.0245738,매일,108.0,농산물+축산물+가공식품+음식점
모란가축시장,상설장,경기도 성남시 중원구 성남대로 1127,경기도 성남시 중원구 성남동 4182,37.4303345,127.1288817,매일,40.0,축산물+가공식품+음식점
은행시장,상설장,경기도 성남시 중원구 산성대로 526,경기도 성남시 중원구 은행동 1553,37.45758204,127.164475,매일,50.0,농산물+축산물+수산물+가공식품+의류+가정용품
모란종합시장,상설장+4일장,경기도 성남시 중원구 성남대로 1127,경기도 성남시 중원구 성남동 4182,37.4303345,127.1288817,4일+9일,61.0,농산물+가공식품+음식점
용인중앙시장,상설장+5일장,경기도 용인시 처인구 금령로107번길 13,경기도 용인시 처인구 김량장동 137-1,37.23671682,127.2078548,5일+10일,506.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스
금광시장,상설장,경기도 성남시 중원구 산성대로426번길 5,경기도 성남시 중원구 금광동 4622,37.45003783,127.159904,매일,20.0,농산물+축산물+가공식품+음식점
모란전통기름시장,상설장,경기도 성남시 중원구 둔촌대로 83번길 7,경기도 성남시 중원구 성남동 4222,37.4309121,127.1280127,매일,52.0,농산물+가공식품
시화공구상가,상설장,경기도 시흥시 공단1대로 204,경기도 시흥시 정왕동 1364,37.33771151,126.7247015,매일,954.0,음식점+근린생활서비스
상대원시장,상설장,경기도 성남시 중원구 희망로344번길 6,경기도 성남시 중원구 상대원동 2985-1,37.43597453,127.158778,매일,72.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스
하대원공설시장,상설장,경기도 성남시 중원구 마지로 118,경기도 성남시 중원구 하대원동 266-1,37.42740887,127.1422648,매일,100.0,농산물+축산물+수산물+가공식품
현대시장,상설장,경기도 성남시 수정구 수정북로18,경기도 성남시 수정구 태평동 3683,37.4417019,127.1319748,매일,46.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점
중앙공설시장,상설장,경기도 성남시 수정구 수정로 109,경기도 성남시 수정구 태평동 3681,37.44139541,127.1321099,매일,105.0,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점
코코프라자시장,상설장,경기도 성남시 분당구 서현로210번길 20,경기도 성남시 분당구 서현동 248-5,37.38586536,127.1240404,매일,67.0,가공식품+의류+신발+가정용품+음식점+근린생활서비스
현대시장(분당),상설장,경기도 성남시 분당구 중앙공원로40번길 8,경기도 성남시 분당구 서현동 94,37.37970477,127.1301725,매일,104.0,농산물+축산물+가공식품+의류+신발+음식점+근린생활서비스
